7,2,58,1,7,"EvaluationScene::DisplayBoneName@1046-1052@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DisplayBoneName","EvaluationScene::DisplayBoneName( const std :: string & boneName) const",1046,1052
22,9,210,2,25,"EvaluationScene::ProjectWorldToScreen@1054-1078@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::ProjectWorldToScreen","EvaluationScene::ProjectWorldToScreen( const XMFLOAT3 & world , XMFLOAT2 & screen) const",1054,1078
8,1,46,2,8,"EvaluationScene::MakeTransformAt@1080-1087@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::MakeTransformAt","EvaluationScene::MakeTransformAt( const XMFLOAT3 & position , const XMFLOAT3 & scale) const",1080,1087
11,1,93,2,12,"EvaluationScene::MakeBoneSegmentTransform@1089-1100@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::MakeBoneSegmentTransform","EvaluationScene::MakeBoneSegmentTransform( const XMFLOAT3 & parent , const XMFLOAT3 & child) const",1089,1100
18,5,125,4,22,"EvaluationScene::DrawScreenBoneLine@1102-1123@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawScreenBoneLine","EvaluationScene::DrawScreenBoneLine( const XMFLOAT3 & a , const XMFLOAT3 & b , uint32_t color , float thickness)",1102,1123
11,4,83,3,12,"InitializeParticleSystem@17-28@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","InitializeParticleSystem","InitializeParticleSystem( const SceneContext & ctx , GPUParticleSystem & system , uint32_t maxParticles)",17,28
6,1,50,2,6,"ConfigureAdditiveMaterial@30-35@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ConfigureAdditiveMaterial","ConfigureAdditiveMaterial( GPUParticleSystem & system , float stretchMode)",30,35
4,1,68,3,4,"Lerp@37-40@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","Lerp","Lerp( const XMFLOAT3 & a , const XMFLOAT3 & b , float t)",37,40
11,3,67,0,11,"ParticleDemoScene::~ParticleDemoScene@44-54@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::~ParticleDemoScene","ParticleDemoScene::~ParticleDemoScene()",44,54
25,5,196,1,30,"ParticleDemoScene::Initialize@56-85@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::Initialize","ParticleDemoScene::Initialize( const SceneContext & ctx)",56,85
44,19,248,0,49,"ParticleDemoScene::Update@87-135@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::Update","ParticleDemoScene::Update()",87,135
1,1,7,0,1,"ParticleDemoScene::Draw@137-137@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::Draw","ParticleDemoScene::Draw()",137,137
14,5,59,0,15,"ParticleDemoScene::DrawTransparent@139-153@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::DrawTransparent","ParticleDemoScene::DrawTransparent()",139,153
18,5,162,0,19,"ParticleDemoScene::DrawPostProcessOverlay@155-173@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::DrawPostProcessOverlay","ParticleDemoScene::DrawPostProcessOverlay()",155,173
15,4,80,0,18,"ParticleDemoScene::StartFireworkAttack@175-192@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::StartFireworkAttack","ParticleDemoScene::StartFireworkAttack()",175,192
17,6,67,0,17,"ParticleDemoScene::ClearAllParticles@194-210@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::ClearAllParticles","ParticleDemoScene::ClearAllParticles()",194,210
16,3,99,1,19,"ParticleDemoScene::UpdateFireworkAttack@212-230@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::UpdateFireworkAttack","ParticleDemoScene::UpdateFireworkAttack( float deltaTime)",212,230
39,2,334,2,41,"ParticleDemoScene::SpawnShellProjectile@232-272@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::SpawnShellProjectile","ParticleDemoScene::SpawnShellProjectile( XMFLOAT3 position , float progress)",232,272
39,4,355,1,44,"ParticleDemoScene::SpawnBigExplosion@274-317@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::SpawnBigExplosion","ParticleDemoScene::SpawnBigExplosion( XMFLOAT3 position)",274,317
50,7,794,1,56,"ParticleDemoScene::SpawnScatteredExplosionVolley@319-374@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::SpawnScatteredExplosionVolley","ParticleDemoScene::SpawnScatteredExplosionVolley( uint32_t stage)",319,374
18,3,145,0,21,"ParticleDemoScene::SpawnDelayedCrackle@376-396@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::SpawnDelayedCrackle","ParticleDemoScene::SpawnDelayedCrackle()",376,396
18,4,188,0,22,"ParticleDemoScene::UpdateImpactPostEffect@398-419@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::UpdateImpactPostEffect","ParticleDemoScene::UpdateImpactPostEffect()",398,419
8,4,44,0,8,"ParticleDemoScene::ClearImpactPostEffect@421-428@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::ClearImpactPostEffect","ParticleDemoScene::ClearImpactPostEffect()",421,428
13,4,137,0,14,"ParticleDemoScene::UpdateCamera@430-443@app\src\scene\ParticleDemoScene.cpp","app\src\scene\ParticleDemoScene.cpp","ParticleDemoScene::UpdateCamera","ParticleDemoScene::UpdateCamera()",430,443
16,4,116,0,16,"GetExecutableDirectory@11-26@app\src\main.cpp","app\src\main.cpp","GetExecutableDirectory","GetExecutableDirectory()",11,26
5,2,53,1,5,"HasPackagedResources@28-32@app\src\main.cpp","app\src\main.cpp","HasPackagedResources","HasPackagedResources( const std :: filesystem :: path & root)",28,32
9,2,64,0,10,"ConfigureAssetRoot@34-43@app\src\main.cpp","app\src\main.cpp","ConfigureAssetRoot","ConfigureAssetRoot()",34,43
11,1,72,4,13,"WinMain@47-59@app\src\main.cpp","app\src\main.cpp","WinMain","WinMain( HINSTANCE instance , HINSTANCE , LPSTR , int showCommand)",47,59
3,1,9,0,3,"Camera::GetView@36-38@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetView","Camera::GetView() const",36,38
3,1,9,0,3,"Camera::GetProj@39-41@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetProj","Camera::GetProj() const",39,41
3,1,9,0,3,"Camera::GetViewProjection@42-44@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetViewProjection","Camera::GetViewProjection() const",42,44
3,1,9,0,3,"Camera::GetPosition@46-48@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetPosition","Camera::GetPosition() const",46,48
3,1,9,0,3,"Camera::GetRotation@49-51@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetRotation","Camera::GetRotation() const",49,51
3,1,9,0,3,"Camera::GetAspect@52-54@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetAspect","Camera::GetAspect() const",52,54
3,1,9,0,3,"Camera::GetFovY@55-57@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetFovY","Camera::GetFovY() const",55,57
3,1,9,0,3,"Camera::GetOrthographicHeight@58-60@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetOrthographicHeight","Camera::GetOrthographicHeight() const",58,60
3,1,9,0,3,"Camera::GetNearZ@61-63@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetNearZ","Camera::GetNearZ() const",61,63
3,1,9,0,3,"Camera::GetFarZ@64-66@engine\include\camera\Camera.h","engine\include\camera\Camera.h","Camera::GetFarZ","Camera::GetFarZ() const",64,66
3,1,9,0,3,"CollisionManager::GetBodies@87-89@engine\include\collision\CollisionManager.h","engine\include\collision\CollisionManager.h","CollisionManager::GetBodies","CollisionManager::GetBodies() const",87,89
10,3,78,2,10,"CoreAlignment::AlignUp@8-17@engine\include\core\Alignment.h","engine\include\core\Alignment.h","CoreAlignment::AlignUp","CoreAlignment::AlignUp( size_t value , size_t alignment)",8,17
3,1,13,0,3,"AssetHotReloader::GetWatchedFileCount@19-21@engine\include\core\AssetHotReloader.h","engine\include\core\AssetHotReloader.h","AssetHotReloader::GetWatchedFileCount","AssetHotReloader::GetWatchedFileCount() const",19,21
3,1,37,2,3,"AsyncJobBatch::Start@10-12@engine\include\core\AsyncJobBatch.h","engine\include\core\AsyncJobBatch.h","AsyncJobBatch::Start","AsyncJobBatch::Start( size_t index , Callable && callable)",10,12
3,1,17,1,3,"AsyncJobBatch::Get@14-16@engine\include\core\AsyncJobBatch.h","engine\include\core\AsyncJobBatch.h","AsyncJobBatch::Get","AsyncJobBatch::Get( size_t index)",14,16
2,1,28,1,2,"ScopedComInitialization::ScopedComInitialization@7-8@engine\include\core\ComInitialization.h","engine\include\core\ComInitialization.h","ScopedComInitialization::ScopedComInitialization","ScopedComInitialization::ScopedComInitialization( DWORD coInit = COINIT_MULTITHREADED)",7,8
5,2,15,0,5,"ScopedComInitialization::~ScopedComInitialization@10-14@engine\include\core\ComInitialization.h","engine\include\core\ComInitialization.h","ScopedComInitialization::~ScopedComInitialization","ScopedComInitialization::~ScopedComInitialization()",10,14
3,2,17,0,3,"ScopedComInitialization::IsUsable@19-21@engine\include\core\ComInitialization.h","engine\include\core\ComInitialization.h","ScopedComInitialization::IsUsable","ScopedComInitialization::IsUsable() const",19,21
3,1,10,0,3,"ScopedComInitialization::Result@23-25@engine\include\core\ComInitialization.h","engine\include\core\ComInitialization.h","ScopedComInitialization::Result","ScopedComInitialization::Result() const",23,25
3,1,8,0,3,"DebugSettingsStore::Json@33-35@engine\include\core\DebugSettingsStore.h","engine\include\core\DebugSettingsStore.h","DebugSettingsStore::Json","DebugSettingsStore::Json()",33,35
3,1,9,0,3,"DebugSettingsStore::Json@36-38@engine\include\core\DebugSettingsStore.h","engine\include\core\DebugSettingsStore.h","DebugSettingsStore::Json","DebugSettingsStore::Json() const",36,38
3,1,9,0,3,"FrameTimer::GetFrameTime@19-21@engine\include\core\FrameTimer.h","engine\include\core\FrameTimer.h","FrameTimer::GetFrameTime","FrameTimer::GetFrameTime() const",19,21
8,1,41,1,8,"HashUtils::Mix32@9-16@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::Mix32","HashUtils::Mix32( uint32_t value)",9,16
8,1,41,1,8,"HashUtils::MixMurmur32@18-25@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::MixMurmur32","HashUtils::MixMurmur32( uint32_t value)",18,25
3,1,22,2,3,"HashUtils::Combine@27-29@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::Combine","HashUtils::Combine( uint32_t value , uint32_t salt)",27,29
3,1,26,1,3,"HashUtils::UnitFloat24@31-33@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat24","HashUtils::UnitFloat24( uint32_t hash)",31,33
3,1,26,1,3,"HashUtils::UnitFloat24Inclusive@35-37@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat24Inclusive","HashUtils::UnitFloat24Inclusive( uint32_t hash)",35,37
3,1,16,1,3,"HashUtils::UnitFloat01@39-41@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat01","HashUtils::UnitFloat01( uint32_t value)",39,41
3,1,16,1,3,"HashUtils::UnitFloat01Inclusive@43-45@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat01Inclusive","HashUtils::UnitFloat01Inclusive( uint32_t value)",43,45
3,1,16,1,3,"HashUtils::UnitFloat01MurmurInclusive@47-49@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat01MurmurInclusive","HashUtils::UnitFloat01MurmurInclusive( uint32_t value)",47,49
3,1,21,2,3,"HashUtils::UnitFloat01@51-53@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::UnitFloat01","HashUtils::UnitFloat01( uint32_t value , uint32_t salt)",51,53
3,1,19,1,3,"HashUtils::SignedFloat11@55-57@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::SignedFloat11","HashUtils::SignedFloat11( uint32_t value)",55,57
3,1,24,2,3,"HashUtils::SignedFloat11@59-61@engine\include\core\HashUtils.h","engine\include\core\HashUtils.h","HashUtils::SignedFloat11","HashUtils::SignedFloat11( uint32_t value , uint32_t salt)",59,61
4,3,43,1,4,"MathUtils::IsFinite@16-19@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::IsFinite","MathUtils::IsFinite( float value)",16,19
3,1,21,1,3,"MathUtils::Saturate@21-23@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::Saturate","MathUtils::Saturate( float value)",21,23
3,2,21,1,3,"MathUtils::SaturateFinite@25-27@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::SaturateFinite","MathUtils::SaturateFinite( float value)",25,27
3,1,24,3,3,"MathUtils::Lerp@29-31@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::Lerp","MathUtils::Lerp( float a , float b , float t)",29,31
3,1,26,3,3,"MathUtils::LerpClamped@33-35@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::LerpClamped","MathUtils::LerpClamped( float a , float b , float t)",33,35
3,1,63,3,3,"MathUtils::Lerp@37-39@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::Lerp","MathUtils::Lerp( const DirectX :: XMFLOAT3 & a , const DirectX :: XMFLOAT3 & b , float t)",37,39
4,1,34,3,4,"MathUtils::LerpClamped@41-44@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::LerpClamped","MathUtils::LerpClamped( const DirectX :: XMFLOAT3 & a , const DirectX :: XMFLOAT3 & b , float t)",41,44
3,1,76,3,3,"MathUtils::Lerp@46-48@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::Lerp","MathUtils::Lerp( const DirectX :: XMFLOAT4 & a , const DirectX :: XMFLOAT4 & b , float t)",46,48
4,1,34,3,4,"MathUtils::LerpClamped@50-53@engine\include\core\MathUtils.h","engine\include\core\MathUtils.h","MathUtils::LerpClamped","MathUtils::LerpClamped( const DirectX :: XMFLOAT4 & a , const DirectX :: XMFLOAT4 & b , float t)",50,53
